"Word","x.x","x.y","x"
"own",23,NA,105
"other",86,54,89
"first",64,30,80
"such",57,41,69
"many",27,NA,67
"same",25,24,64
"miserable",NA,NA,63
"few",NA,NA,62
"old",29,21,51
"human",NA,NA,50
"little",94,123,49
"great",23,39,45
"happy",NA,NA,45
"dear",NA,NA,44
"several",NA,NA,44
"new",20,NA,42
"poor",NA,25,38
"gentle",NA,NA,34
"strange",NA,NA,31
"last",59,31,30
"“",23,NA,NA
"”",34,17,NA
"curious",NA,19,NA
"electronic",27,27,NA
"full",NA,16,NA
"glad",20,NA,NA
"good",29,24,NA
"high",NA,16,NA
"large",NA,33,NA
"long",26,23,NA
"much",NA,21,NA
"next",NA,26,NA
"only",25,NA,NA
"sure",35,20,NA
"true",20,NA,NA
